"","neighborhood","lat","lng","Midwood","Bedford","Fordham South","Borough Park","Rugby-Remsen Village","East Flushing","Woodhaven","Madison","Parkchester"
"1","Midwood",40.6190629,-73.9653715,0,3487,4191,1896,2506,5849,4827,1419,5673
"2","Bedford",40.709534,-73.964027,0,0,2888,3081,1330,4060,2275,3378,4561
"3","Fordham South",40.8615,-73.89058,0,0,0,4943,2672,4197,5380,5193,1760
"4","Borough Park",40.6323009,-73.9888797,0,0,0,0,2415,5398,4600,2199,5582
"5","Rugby-Remsen Village",40.7127837,-74.0059413,0,0,0,0,0,3109,2838,2410,3606
"6","East Flushing",40.7525589,-73.8095574,0,0,0,0,0,0,3630,5967,3615
"7","Woodhaven",40.6901366,-73.8566087,0,0,0,0,0,0,0,4783,5439
"8","Madison",40.6056249,-73.9492079,0,0,0,0,0,0,0,0,5623
"9","Parkchester",40.8382522,-73.8566087,0,0,0,0,0,0,0,0,0
"10","Auburndale",40.754115,-73.7860276,0,0,0,0,0,0,0,0,0
"11","Williamsbridge-Olinville",40.8554311,-73.8553609,0,0,0,0,0,0,0,0,0
"12","Murray Hill",40.7627,-73.81454,0,0,0,0,0,0,0,0,0
"13","East Elmhurst",40.7737505,-73.8713099,0,0,0,0,0,0,0,0,0
"14","Brownsville",40.66308,-73.9095279,0,0,0,0,0,0,0,0,0
"15","East New York (Pennsylvania Ave)",40.6578028,-73.8899582,0,0,0,0,0,0,0,0,0
"16","Kensington-Ocean Parkway",40.619358,-73.9698626,0,0,0,0,0,0,0,0,0
"17","Erasmus",40.6496327,-73.952894,0,0,0,0,0,0,0,0,0
"18","Cambria Heights",40.692158,-73.7330753,0,0,0,0,0,0,0,0,0
"19","East Flatbush-Farragut",40.6374152,-73.9470018,0,0,0,0,0,0,0,0,0
"20","Ocean Parkway South",40.639679,-73.9736869,0,0,0,0,0,0,0,0,0
"21","Starrett City",40.6490524,-73.8802271,0,0,0,0,0,0,0,0,0
"22","Central Harlem South",40.7941784,-73.9210386,0,0,0,0,0,0,0,0,0
"23","College Point",40.786395,-73.8389657,0,0,0,0,0,0,0,0,0
"24","Morrisania-Melrose",40.825761,-73.915231,0,0,0,0,0,0,0,0,0
"25","Elmhurst",40.737975,-73.8801301,0,0,0,0,0,0,0,0,0
"26","Glen Oaks-Floral Park-New Hyde Park",40.7471504,-73.7118223,0,0,0,0,0,0,0,0,0
"27","Longwood",40.8248438,-73.8915875,0,0,0,0,0,0,0,0,0
"28","Yorkville",40.7762231,-73.9492079,0,0,0,0,0,0,0,0,0
"29","Upper East Side-Carnegie Hill",40.784774,-73.9492428,0,0,0,0,0,0,0,0,0
"30","Windsor Terrace",40.6539346,-73.9756567,0,0,0,0,0,0,0,0,0
"31","Hammels-Arverne-Edgemere",40.5925731,-73.7783688,0,0,0,0,0,0,0,0,0
"32","Rikers Island",40.7931277,-73.88601,0,0,0,0,0,0,0,0,0
"33","Hunts Point",40.8120246,-73.8801301,0,0,0,0,0,0,0,0,0
"34","Jackson Heights",40.7556818,-73.8830701,0,0,0,0,0,0,0,0,0
"35","Bath Beach",40.602196,-74.0035709,0,0,0,0,0,0,0,0,0
"36","Old Town-Dongan Hills-South Beach",40.588849,-74.09609,0,0,0,0,0,0,0,0,0
"37","Flatbush",40.6409217,-73.9624327,0,0,0,0,0,0,0,0,0
"38","Melrose South-Mott Haven North",40.825761,-73.915231,0,0,0,0,0,0,0,0,0
"39","Ocean Hill",40.5839897,-73.967075,0,0,0,0,0,0,0,0,0
"40","Morningside Heights",40.8089564,-73.9624327,0,0,0,0,0,0,0,0,0
"41","Soundview-Bruckner",40.8251988,-73.8668046,0,0,0,0,0,0,0,0,0
"42","Allerton-Pelham Gardens",40.8569374,-73.8564634,0,0,0,0,0,0,0,0,0
"43","Jamaica Estates-Holliswood",40.7187082,-73.7704497,0,0,0,0,0,0,0,0,0
"44","Hollis",40.7112203,-73.762495,0,0,0,0,0,0,0,0,0
"45","Flatlands",40.6268432,-73.9330429,0,0,0,0,0,0,0,0,0
"46","East New York",40.6568312,-73.8830701,0,0,0,0,0,0,0,0,0
"47","Kingsbridge Heights",40.869861,-73.8982492,0,0,0,0,0,0,0,0,0
"48","Norwood",40.8771463,-73.8786601,0,0,0,0,0,0,0,0,0
"49","Manhattanville",40.8169443,-73.9558333,0,0,0,0,0,0,0,0,0
"50","Grasmere-Arrochar-Ft. Wadsworth",40.603117,-74.084087,0,0,0,0,0,0,0,0,0
"51","Queens Village",40.71745,-73.73646,0,0,0,0,0,0,0,0,0
"52","Springfield Gardens North",40.6626441,-73.7683784,0,0,0,0,0,0,0,0,0
"53","Canarsie",40.6402325,-73.9060579,0,0,0,0,0,0,0,0,0
"54","Bensonhurst West",40.6112691,-73.9976946,0,0,0,0,0,0,0,0,0
"55","West New Brighton-New Brighton-St. George",40.6423258,-74.0929194,0,0,0,0,0,0,0,0,0
"56","West Village",40.735781,-74.0035709,0,0,0,0,0,0,0,0,0
"57","East Village",40.7264773,-73.9815337,0,0,0,0,0,0,0,0,0
"58","Chinatown",40.7157509,-73.9970307,0,0,0,0,0,0,0,0,0
"59","Pelham Bay-Country Club-City Island",40.8505556,-73.8333333,0,0,0,0,0,0,0,0,0
"60","Woodlawn-Wakefield",40.895361,-73.862916,0,0,0,0,0,0,0,0,0
"61","Old Astoria",40.7331241,-73.8927255,0,0,0,0,0,0,0,0,0
"62","Van Cortlandt Village",40.8910788,-73.8948475,0,0,0,0,0,0,0,0,0
"63","Astoria",40.7643574,-73.9234619,0,0,0,0,0,0,0,0,0
"64","Stuyvesant Town-Cooper Village",40.7317047,-73.9778512,0,0,0,0,0,0,0,0,0
"65","Dyker Heights",40.6187181,-74.0153231,0,0,0,0,0,0,0,0,0
"66","New Brighton-Silver Lake",40.6269237,-74.0953653,0,0,0,0,0,0,0,0,0
"67","Westerleigh",40.616296,-74.1386767,0,0,0,0,0,0,0,0,0
"68","Co-op City",40.8749698,-73.8281865,0,0,0,0,0,0,0,0,0
"69","University Heights-Morris Heights",40.862248,-73.91312,0,0,0,0,0,0,0,0,0
"70","East Concourse-Concourse Village",40.7944562,-73.9547233,0,0,0,0,0,0,0,0,0
"71","Bayside-Bayside Hills",40.76314,-73.77125,0,0,0,0,0,0,0,0,0
"72","North Corona",40.7502698,-73.8624893,0,0,0,0,0,0,0,0,0
"73","Kew Gardens Hills",40.7384986,-73.8106854,0,0,0,0,0,0,0,0,0
"74","Pomonok-Flushing Heights-Hillcrest",40.75789,-73.83135,0,0,0,0,0,0,0,0,0
"75","North Side-South Side",40.9087293,-73.8164787,0,0,0,0,0,0,0,0,0
"76","Lower East Side",40.715033,-73.9842724,0,0,0,0,0,0,0,0,0
"77","Greenpoint",40.7245448,-73.9418603,0,0,0,0,0,0,0,0,0
"78","Spuyten Duyvil-Kingsbridge",40.878245,-73.921455,0,0,0,0,0,0,0,0,0
"79","Sunset Park East",40.645532,-74.0123851,0,0,0,0,0,0,0,0,0
"80","Marble Hill-Inwood",40.874333,-73.910941,0,0,0,0,0,0,0,0,0
"81","Fort Greene",40.6920638,-73.9741874,0,0,0,0,0,0,0,0,0
"82","Washington Heights North",40.8417082,-73.9393554,0,0,0,0,0,0,0,0,0
"83","Steinway",40.7745459,-73.9037477,0,0,0,0,0,0,0,0,0
"84","Mott Haven-Port Morris",40.8014899,-73.9095811,0,0,0,0,0,0,0,0,0
"85","Prospect Heights",40.6774196,-73.9668408,0,0,0,0,0,0,0,0,0
"86","Central Harlem North-Polo Grounds",40.7127837,-74.0059413,0,0,0,0,0,0,0,0,0
"87","Queensbridge-Ravenswood-Long Island City",40.744679,-73.9485424,0,0,0,0,0,0,0,0,0
"88","Cypress Hills-City Line",40.6762144,-73.8870806,0,0,0,0,0,0,0,0,0
"89","New Dorp-Midland Beach",40.57348,-74.11721,0,0,0,0,0,0,0,0,0
"90","Bay Ridge",40.6261638,-74.0329499,0,0,0,0,0,0,0,0,0
"91","Sunset Park West",40.645532,-74.0123851,0,0,0,0,0,0,0,0,0
"92","Baisley Park",40.6848793,-73.7822991,0,0,0,0,0,0,0,0,0
"93","SoHo-TriBeCa-Civic Center-Little Italy",40.72288,-73.9987505,0,0,0,0,0,0,0,0,0
"94","Battery Park City-Lower Manhattan",40.7114913,-74.016251,0,0,0,0,0,0,0,0,0
"95","Clinton",40.7637581,-73.9918181,0,0,0,0,0,0,0,0,0
"96","West Brighton",40.6270298,-74.1093141,0,0,0,0,0,0,0,0,0
"97","South Jamaica",40.6808594,-73.7919103,0,0,0,0,0,0,0,0,0
"98","Ozone Park",40.6794072,-73.8507279,0,0,0,0,0,0,0,0,0
"99","Georgetown-Marine Park-Bergen Beach-Mill Basin",40.6215792,-73.9130382,0,0,0,0,0,0,0,0,0
"100","Brighton Beach",40.5780706,-73.9596565,0,0,0,0,0,0,0,0,0
"101","Bensonhurst East",40.6112691,-73.9976946,0,0,0,0,0,0,0,0,0
"102","West Farms-Bronx River",40.828236,-73.883064,0,0,0,0,0,0,0,0,0
"103","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.586896,-73.954155,0,0,0,0,0,0,0,0,0
"104","Homecrest",40.5942226,-73.958372,0,0,0,0,0,0,0,0,0
"105","Westchester-Unionport",40.833649,-73.8567991,0,0,0,0,0,0,0,0,0
"106","Oakwood-Oakwood Beach",40.5489942,-74.1118086,0,0,0,0,0,0,0,0,0
"107","Grymes Hill-Clifton-Fox Hills",40.621319,-74.071402,0,0,0,0,0,0,0,0,0
"108","Park Slope-Gowanus",40.6566946,-74.0053352,0,0,0,0,0,0,0,0,0
"109","Stapleton-Rosebank",40.627915,-74.075162,0,0,0,0,0,0,0,0,0
"110","Crown Heights North",40.6681032,-73.9447994,0,0,0,0,0,0,0,0,0
"111","Fresh Meadows-Utopia",40.7341196,-73.7961384,0,0,0,0,0,0,0,0,0
"112","Bellerose",40.7243707,-73.7154014,0,0,0,0,0,0,0,0,0
"113","Stuyvesant Heights",40.683494,-73.9205908,0,0,0,0,0,0,0,0,0
"114","East Williamsburg",40.7158762,-73.9330429,0,0,0,0,0,0,0,0,0
"115","Ridgewood",40.7108476,-73.8977693,0,0,0,0,0,0,0,0,0
"116","Rego Park",40.7255722,-73.8624893,0,0,0,0,0,0,0,0,0
"117","East Harlem South",40.7957399,-73.9389213,0,0,0,0,0,0,0,0,0
"118","Bushwick South",40.6944282,-73.9212858,0,0,0,0,0,0,0,0,0
"119","East Harlem North",40.7957399,-73.9389213,0,0,0,0,0,0,0,0,0
"120","Bushwick North",40.6944282,-73.9212858,0,0,0,0,0,0,0,0,0
"121","Glendale",40.698994,-73.8804427,0,0,0,0,0,0,0,0,0
"122","Charleston-Richmond Valley-Tottenville",40.519631,-74.229141,0,0,0,0,0,0,0,0,0
"123","park-cemetery-etc-Staten Island",40.5795317,-74.1502007,0,0,0,0,0,0,0,0,0
"124","New Springville-Bloomfield-Travis",40.6126039,-74.1781995,0,0,0,0,0,0,0,0,0
"125","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill",40.5762469,-74.1388166,0,0,0,0,0,0,0,0,0
"126","South Ozone Park",40.6764003,-73.8124984,0,0,0,0,0,0,0,0,0
"127","Lindenwood-Howard Beach",40.661024,-73.8295754,0,0,0,0,0,0,0,0,0
"128","Midtown-Midtown South",40.7539227,-73.9949553,0,0,0,0,0,0,0,0,0
"129","Murray Hill-Kips Bay",40.7503039,-73.9790002,0,0,0,0,0,0,0,0,0
"130","Mariner's Harbor-Arlington-Port Ivory-Graniteville",40.6409366,-74.1801442,0,0,0,0,0,0,0,0,0
"131","Prospect Lefferts Gardens-Wingate",40.7127837,-74.0059413,0,0,0,0,0,0,0,0,0
"132","Crown Heights South",40.6681032,-73.9447994,0,0,0,0,0,0,0,0,0
"133","Port Richmond",40.6354914,-74.1254641,0,0,0,0,0,0,0,0,0
"134","Hunters Point-Sunnyside-West Maspeth",40.748039,-73.937478,0,0,0,0,0,0,0,0,0
"135","Claremont-Bathgate",40.8494022,-73.8957043,0,0,0,0,0,0,0,0,0
"136","Van Nest-Morris Park-Westchester Square",40.854364,-73.860495,0,0,0,0,0,0,0,0,0
"137","Pelham Parkway",40.8553279,-73.8639594,0,0,0,0,0,0,0,0,0
"138","Mount Hope",40.8488863,-73.9051185,0,0,0,0,0,0,0,0,0
"139","Ft. Totten-Bay Terrace-Clearview",40.7772521,-73.7846302,0,0,0,0,0,0,0,0,0
"140","Whitestone",40.7920449,-73.8095574,0,0,0,0,0,0,0,0,0
"141","Turtle Bay-East Midtown",40.7791964,-73.9653854,0,0,0,0,0,0,0,0,0
"142","Lenox Hill-Roosevelt Island",40.7621612,-73.9499644,0,0,0,0,0,0,0,0,0
"143","Elmhurst-Maspeth",40.723158,-73.912637,0,0,0,0,0,0,0,0,0
"144","Woodside",40.74584,-73.90297,0,0,0,0,0,0,0,0,0
"145","St. Albans",40.6894086,-73.7654367,0,0,0,0,0,0,0,0,0
"146","Laurelton",40.6740861,-73.7448437,0,0,0,0,0,0,0,0,0
"147","Brooklyn Heights-Cobble Hill",40.7047531,-73.9953261,0,0,0,0,0,0,0,0,0
"148","Jamaica",40.702677,-73.7889689,0,0,0,0,0,0,0,0,0
"149","Richmond Hill",40.6958108,-73.8272029,0,0,0,0,0,0,0,0,0
"150","Briarwood-Jamaica Hills",40.7519711,-73.8418122,0,0,0,0,0,0,0,0,0
"151","Kew Gardens",40.705695,-73.8272029,0,0,0,0,0,0,0,0,0
"152","Middle Village",40.717372,-73.87425,0,0,0,0,0,0,0,0,0
"153","Maspeth",40.7294018,-73.9065883,0,0,0,0,0,0,0,0,0
"154","Upper West Side",40.7870106,-73.9753676,0,0,0,0,0,0,0,0,0
"155","Lincoln Square",40.773828,-73.9844722,0,0,0,0,0,0,0,0,0
"156","Bronxdale",40.8506558,-73.8665241,0,0,0,0,0,0,0,0,0
"157","Oakland Gardens",40.7408584,-73.758241,0,0,0,0,0,0,0,0,0
"158","Douglas Manor-Douglaston-Little Neck",40.76806,-73.74941,0,0,0,0,0,0,0,0,0
"159","Annadale-Huguenot-Prince's Bay-Eltingville",40.533674,-74.191794,0,0,0,0,0,0,0,0,0
"160","Great Kills",40.5543273,-74.156292,0,0,0,0,0,0,0,0,0
"161","Seagate-Coney Island",40.5773796,-73.9683102,0,0,0,0,0,0,0,0,0
"162","Corona",40.7449859,-73.8642613,0,0,0,0,0,0,0,0,0
"163","Schuylerville-Throgs Neck-Edgewater Park",40.821087,-73.812592,0,0,0,0,0,0,0,0,0
"164","Gravesend",40.5910166,-73.977126,0,0,0,0,0,0,0,0,0
"165","East Tremont",40.847301,-73.89955,0,0,0,0,0,0,0,0,0
"166","North Riverdale-Fieldston-Riverdale",40.903981,-73.914126,0,0,0,0,0,0,0,0,0
"167","Bedford Park-Fordham North",40.873244,-73.887138,0,0,0,0,0,0,0,0,0
"168","Belmont",40.8523198,-73.88601,0,0,0,0,0,0,0,0,0
"169","Eastchester-Edenwald-Baychester",40.878663,-73.838591,0,0,0,0,0,0,0,0,0
"170","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",40.6158335,-73.8213213,0,0,0,0,0,0,0,0,0
"171","Crotona Park East",40.8366558,-73.8921959,0,0,0,0,0,0,0,0,0
"172","Soundview-Castle Hill-Clason Point-Harding Park",40.8089546,-73.8581793,0,0,0,0,0,0,0,0,0
"173","Rossville-Woodrow",40.5556605,-74.2134778,0,0,0,0,0,0,0,0,0
"174","Arden Heights",40.5567951,-74.1739057,0,0,0,0,0,0,0,0,0
"175","Far Rockaway-Bayswater",40.6131343,-73.7702169,0,0,0,0,0,0,0,0,0
"176","park-cemetery-etc-Bronx",40.8447819,-73.8648268,0,0,0,0,0,0,0,0,0
"177","Carroll Gardens-Columbia Street-Red Hook",40.674782,-74.008049,0,0,0,0,0,0,0,0,0
"178","park-cemetery-etc-Manhattan",40.7830603,-73.9712488,0,0,0,0,0,0,0,0,0
"179","Rosedale",40.6584068,-73.7389596,0,0,0,0,0,0,0,0,0
"180","Flushing",40.7674987,-73.833079,0,0,0,0,0,0,0,0,0
"181","Queensboro Hill",40.750582,-73.940202,0,0,0,0,0,0,0,0,0
"182","Hudson Yards-Chelsea-Flatiron-Union Square",40.7410611,-73.9896869,0,0,0,0,0,0,0,0,0
"183","Gramercy",40.7376885,-73.9819362,0,0,0,0,0,0,0,0,0
"184","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",40.7032417,-73.9958466,0,0,0,0,0,0,0,0,0
"185","Clinton Hill",40.6893665,-73.9639021,0,0,0,0,0,0,0,0,0
"186","Williamsburg",40.7081156,-73.9570696,0,0,0,0,0,0,0,0,0
"187","park-cemetery-etc-Brooklyn",40.6781784,-73.9441579,0,0,0,0,0,0,0,0,0
"188","Hamilton Heights",40.8259597,-73.9496079,0,0,0,0,0,0,0,0,0
"189","Washington Heights South",40.8417082,-73.9393554,0,0,0,0,0,0,0,0,0
"190","Highbridge",40.8384699,-73.9271644,0,0,0,0,0,0,0,0,0
"191","West Concourse",40.8316761,-73.9227554,0,0,0,0,0,0,0,0,0
"192","Forest Hills",40.718106,-73.8448469,0,0,0,0,0,0,0,0,0
"193","park-cemetery-etc-Queens",40.7282239,-73.7948516,0,0,0,0,0,0,0,0,0
"194","Springfield Gardens South-Brookville",40.700244,-73.792844,0,0,0,0,0,0,0,0,0
"195","Airport",40.7769271,-73.8739659,0,0,0,0,0,0,0,0,0
